lat,long,city,country,lookup,temp,hum,wind,cloud,name
36.697227718627715,-80.0357220326883,martinsville,us,"martinsville,us",40.78,69.0,6.31,1.0,"Martinsville, US"
-16.179117807798647,-57.056942113830516,pocone,br,"pocone,br",74.55,84.0,2.82,50.0,"Pocone, BR"
-4.520187644961084,-46.56907317844443,amarante do maranhao,br,"amarante do maranhao,br",76.21,76.0,3.62,13.0,"Amarante do Maranhao, BR"
-42.38681377676632,-98.08502814688228,ancud,cl,"ancud,cl",51.8,93.0,8.05,20.0,"Ancud, CL"
12.534184150067887,37.316790155207485,gondar,et,"gondar,et",,,,,
20.74911309497722,-57.12847881262866,codrington,ag,"codrington,ag",,,,,
84.84962795916587,158.35096722142254,cherskiy,ru,"cherskiy,ru",5.34,90.0,2.26,100.0,"Cherskiy, RU"
43.59897499077957,122.85824480593618,tongliao,cn,"tongliao,cn",23.23,25.0,4.0,94.0,"Tongliao, CN"
8.221335976191114,51.04133288926528,eyl,so,"eyl,so",78.8,80.0,22.01,0.0,"Eyl, SO"
-8.353053990943167,137.82327687308515,merauke,id,"merauke,id",86.23,70.0,8.84,60.0,"Merauke, ID"
56.649462002400696,93.78963910254294,devyatka,ru,"devyatka,ru",,,,,
78.46896456295968,133.86837967620767,nizhneyansk,ru,"nizhneyansk,ru",,,,,
-13.657958073384506,154.13246384279643,samarai,pg,"samarai,pg",79.95,82.0,9.35,70.0,"Samarai, PG"
49.08305260741446,-117.50081762761127,fruitvale,ca,"fruitvale,ca",31.93,98.0,2.44,100.0,"Fruitvale, CA"
47.90791428882679,140.81919814955404,sovetskaya gavan,ru,"sovetskaya gavan,ru",13.39,59.0,16.04,100.0,"Sovetskaya Gavan, RU"
53.966627159556054,11.2484723413869,grevesmuhlen,de,"grevesmuhlen,de",45.16,95.0,5.01,100.0,"Grevesmuhlen, DE"
39.00283656089783,31.681787749894198,emirdag,tr,"emirdag,tr",44.64,91.0,2.17,100.0,"Emirdag, TR"
64.5030876497975,-157.86602925976769,bethel,us,"bethel,us",14.09,78.0,23.04,1.0,"Bethel, US"
-33.43537993958135,150.57092831459494,lithgow,au,"lithgow,au",76.8,41.0,8.05,67.0,"Lithgow, AU"
82.25027769134778,-44.80551122175686,ilulissat,gl,"ilulissat,gl",28.4,68.0,12.75,96.0,"Ilulissat, GL"
42.976223095545635,79.94403844649503,zharkent,kz,"zharkent,kz",32.67,59.0,6.91,100.0,"Zharkent, KZ"
-19.088045930512664,-38.865152983206116,conceicao da barra,br,"conceicao da barra,br",75.94,90.0,19.57,100.0,"Conceicao da Barra, BR"
-9.535784148051164,132.15307485430014,nguiu,au,"nguiu,au",,,,,
8.918098845542744,71.57776767259375,kavaratti,in,"kavaratti,in",82.22,76.0,10.47,100.0,"Kavaratti, IN"
72.29684346197357,120.51721990531064,zhigansk,ru,"zhigansk,ru",-5.1,94.0,17.29,99.0,"Zhigansk, RU"
49.730595542080806,-126.73573580927089,port hardy,ca,"port hardy,ca",48.2,93.0,5.82,75.0,"Port Hardy, CA"
-38.491779904816035,-38.30352014836643,laguna,br,"laguna,br",,,,,
-71.36911312117017,178.60199980697666,kaitangata,nz,"kaitangata,nz",53.01,82.0,10.0,43.0,"Kaitangata, NZ"
54.92481593369533,-76.165372650134,chapais,ca,"chapais,ca",1.4,77.0,11.41,90.0,"Chapais, CA"
3.9948180074882345,20.87267140659094,gbadolite,cd,"gbadolite,cd",71.38,92.0,1.7,100.0,"Gbadolite, CD"
61.59451177295222,-62.35192794348558,pangnirtung,ca,"pangnirtung,ca",10.58,70.0,7.14,10.0,"Pangnirtung, CA"
-31.286283687585325,-23.828088813263037,sao joao da barra,br,"sao joao da barra,br",71.55,85.0,11.59,100.0,"Sao Joao da Barra, BR"
48.27890464293023,146.52578939129472,vostok,ru,"vostok,ru",4.26,69.0,17.63,100.0,"Vostok, RU"
11.581679930745196,152.8215090541716,kavieng,pg,"kavieng,pg",84.99,68.0,5.55,56.0,"Kavieng, PG"
20.329482927098937,-127.15606086260928,san quintin,mx,"san quintin,mx",,,,,
-14.565887044421473,-40.063235248836975,iguai,br,"iguai,br",68.4,98.0,3.18,75.0,"Iguai, BR"
77.8707833746706,62.88486121852867,amderma,ru,"amderma,ru",,,,,
15.16200168411548,-107.94596534406111,san patricio,mx,"san patricio,mx",75.2,94.0,9.17,90.0,"San Patricio, MX"
63.8962088917024,147.71902325530317,shirokiy,ru,"shirokiy,ru",34.0,86.0,3.0,59.0,"Shirokiy, RU"
-18.914039523982936,-151.1696844441047,haapiti,pf,"haapiti,pf",86.0,62.0,5.82,40.0,"Haapiti, PF"
40.94383512217897,116.8129299631932,shunyi,cn,"shunyi,cn",46.74,57.0,2.24,75.0,"Shunyi, CN"
-32.340756229828614,38.504548260462,richards bay,za,"richards bay,za",70.05,79.0,22.86,3.0,"Richards Bay, ZA"
36.811232962044784,109.48020400247941,yanan,cn,"yanan,cn",,,,,
61.802493979972695,133.09688217454413,churapcha,ru,"churapcha,ru",-14.03,93.0,7.14,15.0,"Churapcha, RU"
-57.907115988333985,179.65540673107466,dunedin,nz,"dunedin,nz",50.99,89.0,17.38,37.0,"Dunedin, NZ"
-9.218204012802644,-73.26180939343833,porto walter,br,"porto walter,br",72.0,98.0,3.0,100.0,"Porto Walter, BR"
65.46404330805106,112.46895634244487,udachnyy,ru,"udachnyy,ru",-13.0,91.0,4.47,90.0,"Udachnyy, RU"
57.82617570298433,105.84781886760072,ust-kut,ru,"ust-kut,ru",-7.67,92.0,1.5,88.0,"Ust-Kut, RU"
44.18606611342514,9.854783599915692,la spezia,it,"la spezia,it",47.37,87.0,9.17,40.0,"La Spezia, IT"
42.47872720554014,149.18585783023212,sentyabrskiy,ru,"sentyabrskiy,ru",,,,,
0.3336191090275804,-70.78698990776023,mitu,co,"mitu,co",73.04,96.0,1.36,100.0,"Mitu, CO"
17.302444880916127,-16.74094408063371,nouakchott,mr,"nouakchott,mr",73.4,23.0,9.17,100.0,"Nouakchott, MR"
21.917882397687123,109.41487982676392,lianzhou,cn,"lianzhou,cn",75.13,45.0,5.35,0.0,"Lianzhou, CN"
18.228401375942994,42.46263277747977,abha,sa,"abha,sa",53.67,87.0,0.13,38.0,"Abha, SA"
75.33132509462354,-76.1652511079072,qaanaaq,gl,"qaanaaq,gl",5.85,77.0,14.99,100.0,"Qaanaaq, GL"
17.5543151592898,61.79173956462111,sur,om,"sur,om",70.14,40.0,3.0,0.0,"Sur, OM"
-69.0655550725188,-18.16070939674441,chuy,uy,"chuy,uy",57.16,90.0,1.86,0.0,"Chuy, UY"
-5.975160782772477,-63.157034321243174,tapaua,br,"tapaua,br",,,,,
36.68228661809255,51.76707679761938,nur,ir,"nur,ir",,,,,
-14.930355774600073,78.79221021141234,hithadhoo,mv,"hithadhoo,mv",82.83,73.0,15.48,98.0,"Hithadhoo, MV"
52.62316329454464,-118.97546150297316,jasper,ca,"jasper,ca",29.48,97.0,3.87,100.0,"Jasper, CA"
-0.15484512096092828,79.95129743560796,matara,lk,"matara,lk",82.35,72.0,7.0,0.0,"Matara, LK"
-21.81347411009068,151.82766492038502,yeppoon,au,"yeppoon,au",93.2,30.0,8.05,0.0,"Yeppoon, AU"
-10.515710140373912,113.81425102753224,muncar,id,"muncar,id",80.47,78.0,5.61,0.0,"Muncar, ID"
59.604345466982096,-40.60654222393745,nanortalik,gl,"nanortalik,gl",30.87,71.0,7.45,97.0,"Nanortalik, GL"
55.57395580919061,-105.00088562832958,la ronge,ca,"la ronge,ca",24.8,73.0,10.29,90.0,"La Ronge, CA"
70.83181918053364,41.47690525110792,ostrovnoy,ru,"ostrovnoy,ru",23.45,90.0,17.02,40.0,"Ostrovnoy, RU"
-25.491951502222705,-70.27771045623909,taltal,cl,"taltal,cl",55.24,91.0,4.23,59.0,"Taltal, CL"
-14.552777356759648,-164.37367410954997,satitoa,ws,"satitoa,ws",,,,,
11.786558381049446,-9.58593542912513,siguiri,gn,"siguiri,gn",77.47,46.0,0.25,100.0,"Siguiri, GN"
25.176897900126193,84.36332610426541,bikramganj,in,"bikramganj,in",71.2,51.0,5.88,0.0,"Bikramganj, IN"
-29.340976347331967,8.070226692976888,luderitz,na,"luderitz,na",62.6,82.0,13.87,83.0,"Luderitz, NA"
-9.671169044691908,-59.59084706573141,aripuana,br,"aripuana,br",72.25,91.0,0.65,47.0,"Aripuana, BR"
-13.799521166424256,110.071218483785,bambanglipuro,id,"bambanglipuro,id",86.52,53.0,11.43,13.0,"Bambanglipuro, ID"
38.18309096934212,165.0279220132512,severo-kurilsk,ru,"severo-kurilsk,ru",24.62,63.0,21.23,80.0,"Severo-Kurilsk, RU"
-12.989878391083153,-51.294280536256764,sao miguel do araguaia,br,"sao miguel do araguaia,br",76.59,78.0,4.94,72.0,"Sao Miguel do Araguaia, BR"
73.2164748282367,94.6367226704761,talnakh,ru,"talnakh,ru",-9.4,76.0,6.71,0.0,"Talnakh, RU"
